Sep-Oct-Nov 1961,Sep-Oct-Nov 1962,Sep-Oct-Nov 1963,Sep-Oct-Nov 1964,Sep-Oct-Nov 1965,Sep-Oct-Nov 1966,Sep-Oct-Nov 1967,Sep-Oct-Nov 1968,Sep-Oct-Nov 1969,Sep-Oct-Nov 1970,Sep-Oct-Nov 1971,Sep-Oct-Nov 1972,Sep-Oct-Nov 1973,Sep-Oct-Nov 1974,Sep-Oct-Nov 1975,Sep-Oct-Nov 1976,Sep-Oct-Nov 1977,Sep-Oct-Nov 1978,Sep-Oct-Nov 1979,Sep-Oct-Nov 1980,Sep-Oct-Nov 1981,Sep-Oct-Nov 1982,Sep-Oct-Nov 1983,Sep-Oct-Nov 1984,Sep-Oct-Nov 1985,Sep-Oct-Nov 1986,Sep-Oct-Nov 1987,Sep-Oct-Nov 1988,Sep-Oct-Nov 1989,Sep-Oct-Nov 1990,Sep-Oct-Nov 1991,Sep-Oct-Nov 1992,Sep-Oct-Nov 1993,Sep-Oct-Nov 1994,Sep-Oct-Nov 1995,Sep-Oct-Nov 1996,Sep-Oct-Nov 1997,Sep-Oct-Nov 1998,Sep-Oct-Nov 1999,Sep-Oct-Nov 2000,Sep-Oct-Nov 2001,Sep-Oct-Nov 2002,Sep-Oct-Nov 2003,Sep-Oct-Nov 2004,Sep-Oct-Nov 2005,Sep-Oct-Nov 2006,Sep-Oct-Nov 2007,Sep-Oct-Nov 2008,Sep-Oct-Nov 2009,Sep-Oct-Nov 2010,Sep-Oct-Nov 2011,Sep-Oct-Nov 2012,Sep-Oct-Nov 2013,Sep-Oct-Nov 2014,Sep-Oct-Nov 2015,Sep-Oct-Nov 2016,Sep-Oct-Nov 2017,Sep-Oct-Nov 2018,Sep-Oct-Nov 2019
1.467,1.171,2.417,0.28,0.49,-0.275,0.682,0.709,1.631,0.127,-0.811,-0.438,-1.842,-1.133,-1.211,-0.338,1.091,-3.09,0.013,0.668,-3.421,-0.947,-1.805,0.384,0.409,-0.891,0.396,-4.322,-1.0,1.562,0.066,0.675,-1.267,0.14,-2.622,0.944,0.352,-1.242,-0.023,2.954,-0.548,1.342,1.505,-0.137,-0.659,-1.034,-1.49,1.322,0.802,2.859,-0.711,2.557,1.922,2.048,1.683,0.625,0.253,2.101,3.585
1.211,1.211,1.211,1.211,1.211,1.211,1.211,1.211,1.211,1.211,1.211,1.211,1.211,1.211,1.211,1.211,1.211,1.211,1.211,1.211,1.211,1.211,1.211,1.211,1.211,1.211,1.211,1.211,1.211,1.211,1.211,1.211,1.211,1.211,1.211,1.211,1.211,1.211,1.211,1.211,1.211,1.211,1.211,1.211,1.211,1.211,1.211,1.211,1.211,1.211,1.211,1.211,1.211,1.211,1.211,1.211,1.211,1.211,1.211
-0.023,0.624,0.057,-0.234,-0.845,-0.074,-0.097,0.389,-0.479,0.138,-0.208,-0.627,0.521,-0.179,0.422,-0.473,-0.372,-0.462,-0.096,0.59,0.653,0.217,0.787,0.805,0.12,0.72,1.462,0.119,1.996,2.437,0.93,0.498,0.723,0.578,1.019,0.501,0.778,2.58,2.397,1.111,2.512,1.728,1.657,0.562,1.027,0.393,1.937,1.849,-0.077,1.395,2.639,1.317,1.021,2.998,1.539,1.738,1.534,1.562,2.192
0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438
0.063,0.848,-0.95,-0.279,1.313,0.106,0.798,0.141,-0.596,-0.202,-0.543,-0.073,0.474,-1.211,0.154,-0.378,0.466,-1.219,1.214,-0.333,1.686,0.715,0.265,-0.969,0.399,0.834,2.058,1.563,1.466,2.833,0.697,0.921,1.502,0.754,0.728,0.024,1.604,0.584,3.236,0.076,3.691,1.274,3.426,3.247,2.681,2.687,2.013,1.252,1.788,1.687,0.395,2.686,3.903,2.47,2.734,3.334,0.969,1.295,2.076
0.794,0.794,0.794,0.794,0.794,0.794,0.794,0.794,0.794,0.794,0.794,0.794,0.794,0.794,0.794,0.794,0.794,0.794,0.794,0.794,0.794,0.794,0.794,0.794,0.794,0.794,0.794,0.794,0.794,0.794,0.794,0.794,0.794,0.794,0.794,0.794,0.794,0.794,0.794,0.794,0.794,0.794,0.794,0.794,0.794,0.794,0.794,0.794,0.794,0.794,0.794,0.794,0.794,0.794,0.794,0.794,0.794,0.794,0.794
1.961,-0.729,1.068,-1.074,0.618,-1.123,1.287,0.728,1.253,0.103,-1.312,0.667,-0.102,-1.177,-1.367,-1.064,0.151,-0.871,-1.082,0.916,0.131,-0.446,2.492,0.638,2.327,-0.665,0.469,1.558,1.845,1.488,0.062,-0.225,1.253,1.398,1.431,0.776,1.638,0.311,0.57,1.445,1.304,1.208,1.46,-0.032,1.708,1.435,0.725,-0.134,1.31,1.789,1.442,2.92,0.72,2.357,1.248,1.636,0.708,1.511,0.899
1.011,1.011,1.011,1.011,1.011,1.011,1.011,1.011,1.011,1.011,1.011,1.011,1.011,1.011,1.011,1.011,1.011,1.011,1.011,1.011,1.011,1.011,1.011,1.011,1.011,1.011,1.011,1.011,1.011,1.011,1.011,1.011,1.011,1.011,1.011,1.011,1.011,1.011,1.011,1.011,1.011,1.011,1.011,1.011,1.011,1.011,1.011,1.011,1.011,1.011,1.011,1.011,1.011,1.011,1.011,1.011,1.011,1.011,1.011
0.268,0.29,-0.014,-0.717,-0.298,-0.079,0.004,0.087,-0.293,-0.453,-0.478,0.414,0.45,0.525,0.133,-0.073,-0.34,0.127,0.752,0.441,0.644,-0.025,0.421,0.095,0.266,0.409,0.197,0.387,1.251,0.732,0.704,1.238,,0.122,0.799,1.381,,,0.559,1.164,0.949,1.334,0.781,0.964,0.909,0.908,1.449,0.966,,0.799,1.185,1.354,1.314,1.718,0.748,1.408,1.758,1.308,1.658
0.366,0.366,0.366,0.366,0.366,0.366,0.366,0.366,0.366,0.366,0.366,0.366,0.366,0.366,0.366,0.366,0.366,0.366,0.366,0.366,0.366,0.366,0.366,0.366,0.366,0.366,0.366,0.366,0.366,0.366,0.366,0.366,,0.366,0.366,0.366,,,0.366,0.366,0.366,0.366,0.366,0.366,0.366,0.366,0.366,0.366,,0.366,0.366,0.366,0.366,0.366,0.366,0.366,0.366,0.366,0.366
-0.517,-0.086,0.032,-0.413,-0.078,0.049,-0.46,-0.001,0.319,-0.049,-0.231,0.389,-0.441,0.275,0.549,0.604,0.245,0.091,0.601,0.049,0.21,0.604,0.006,0.044,0.621,0.813,0.388,0.096,0.704,1.056,0.875,0.914,,,0.002,0.692,,-2.114,0.318,0.578,0.091,0.006,0.892,0.802,0.33,0.817,0.638,1.079,,1.327,1.223,1.588,1.268,2.114,0.494,1.654,1.004,1.304,1.504
0.326,0.326,0.326,0.326,0.326,0.326,0.326,0.326,0.326,0.326,0.326,0.326,0.326,0.326,0.326,0.326,0.326,0.326,0.326,0.326,0.326,0.326,0.326,0.326,0.326,0.326,0.326,0.326,0.326,0.326,0.326,0.326,,,0.326,0.326,,0.326,0.326,0.326,0.326,0.326,0.326,0.326,0.326,0.326,0.326,0.326,,0.326,0.326,0.326,0.326,0.326,0.326,0.326,0.326,0.326,0.326
-0.147,-0.18,0.247,-0.503,-0.044,0.348,-0.621,0.646,0.056,-0.408,-0.097,0.051,-0.261,0.111,-0.011,0.517,0.311,-0.298,0.352,0.748,0.29,0.116,0.127,0.293,0.19,0.891,0.865,-0.248,0.269,0.767,1.026,0.117,,,0.876,1.245,2.723,-0.027,0.257,0.407,0.818,0.652,-0.19,1.529,1.291,0.678,0.774,0.593,,1.38,0.581,1.691,1.217,0.887,1.517,1.307,1.407,1.407,1.107
0.384,0.384,0.384,0.384,0.384,0.384,0.384,0.384,0.384,0.384,0.384,0.384,0.384,0.384,0.384,0.384,0.384,0.384,0.384,0.384,0.384,0.384,0.384,0.384,0.384,0.384,0.384,0.384,0.384,0.384,0.384,0.384,,,0.384,0.384,0.384,0.384,0.384,0.384,0.384,0.384,0.384,0.384,0.384,0.384,0.384,0.384,,0.384,0.384,0.384,0.384,0.384,0.384,0.384,0.384,0.384,0.384
2.493,1.043,-1.218,1.925,-2.315,1.475,-0.168,-0.585,-1.137,1.764,0.075,-2.903,0.697,-1.551,-0.427,-1.48,-0.559,0.716,-0.178,1.399,0.597,1.253,1.306,-1.337,2.497,1.237,3.308,0.238,-0.024,1.296,2.407,-0.14,-1.021,-0.827,-1.634,-1.763,1.628,0.451,1.886,1.312,-0.981,-0.315,0.991,1.41,0.502,2.102,-0.138,-0.199,1.294,0.21,2.628,0.963,1.274,2.208,-0.254,2.772,-0.459,3.098,1.951
1.386,1.386,1.386,1.386,1.386,1.386,1.386,1.386,1.386,1.386,1.386,1.386,1.386,1.386,1.386,1.386,1.386,1.386,1.386,1.386,1.386,1.386,1.386,1.386,1.386,1.386,1.386,1.386,1.386,1.386,1.386,1.386,1.386,1.386,1.386,1.386,1.386,1.386,1.386,1.386,1.386,1.386,1.386,1.386,1.386,1.386,1.386,1.386,1.386,1.386,1.386,1.386,1.386,1.386,1.386,1.386,1.386,1.386,1.386
0.554,1.227,0.497,-1.847,1.478,0.322,2.429,2.686,1.313,-0.442,1.467,-0.36,-1.0,-4.54,-0.473,-0.972,1.729,-0.194,0.589,-0.495,0.524,-0.147,0.934,0.019,1.99,1.967,1.237,1.821,1.177,1.425,-1.407,-1.707,-1.341,0.83,3.33,0.113,2.435,-0.031,1.19,0.281,3.613,1.234,-0.472,2.376,2.356,3.375,0.32,0.326,1.788,-0.172,2.086,1.557,2.893,3.664,0.649,1.431,2.792,1.517,2.749
1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.43
-0.186,-2.025,1.885,0.433,0.14,-2.028,1.476,1.118,-0.29,2.325,-2.411,1.286,0.546,0.381,-0.47,-1.404,-0.057,-0.017,-0.537,-0.607,0.973,1.395,2.682,2.625,-2.107,0.874,0.378,0.518,1.993,0.547,0.16,2.493,-0.808,3.228,1.366,0.464,1.8,-1.108,-1.426,0.9,-1.13,2.052,1.949,-0.557,-0.174,3.264,-0.746,-0.224,2.747,0.225,3.427,1.451,0.029,3.559,2.957,1.634,0.239,1.889,0.618
1.248,1.248,1.248,1.248,1.248,1.248,1.248,1.248,1.248,1.248,1.248,1.248,1.248,1.248,1.248,1.248,1.248,1.248,1.248,1.248,1.248,1.248,1.248,1.248,1.248,1.248,1.248,1.248,1.248,1.248,1.248,1.248,1.248,1.248,1.248,1.248,1.248,1.248,1.248,1.248,1.248,1.248,1.248,1.248,1.248,1.248,1.248,1.248,1.248,1.248,1.248,1.248,1.248,1.248,1.248,1.248,1.248,1.248,1.248
