Dec-Jan-Feb 1962,Dec-Jan-Feb 1963,Dec-Jan-Feb 1964,Dec-Jan-Feb 1965,Dec-Jan-Feb 1966,Dec-Jan-Feb 1967,Dec-Jan-Feb 1968,Dec-Jan-Feb 1969,Dec-Jan-Feb 1970,Dec-Jan-Feb 1971,Dec-Jan-Feb 1972,Dec-Jan-Feb 1973,Dec-Jan-Feb 1974,Dec-Jan-Feb 1975,Dec-Jan-Feb 1976,Dec-Jan-Feb 1977,Dec-Jan-Feb 1978,Dec-Jan-Feb 1979,Dec-Jan-Feb 1980,Dec-Jan-Feb 1981,Dec-Jan-Feb 1982,Dec-Jan-Feb 1983,Dec-Jan-Feb 1984,Dec-Jan-Feb 1985,Dec-Jan-Feb 1986,Dec-Jan-Feb 1987,Dec-Jan-Feb 1988,Dec-Jan-Feb 1989,Dec-Jan-Feb 1990,Dec-Jan-Feb 1991,Dec-Jan-Feb 1992,Dec-Jan-Feb 1993,Dec-Jan-Feb 1994,Dec-Jan-Feb 1995,Dec-Jan-Feb 1996,Dec-Jan-Feb 1997,Dec-Jan-Feb 1998,Dec-Jan-Feb 1999,Dec-Jan-Feb 2000,Dec-Jan-Feb 2001,Dec-Jan-Feb 2002,Dec-Jan-Feb 2003,Dec-Jan-Feb 2004,Dec-Jan-Feb 2005,Dec-Jan-Feb 2006,Dec-Jan-Feb 2007,Dec-Jan-Feb 2008,Dec-Jan-Feb 2009,Dec-Jan-Feb 2010,Dec-Jan-Feb 2011,Dec-Jan-Feb 2012,Dec-Jan-Feb 2013,Dec-Jan-Feb 2014,Dec-Jan-Feb 2015,Dec-Jan-Feb 2016,Dec-Jan-Feb 2017,Dec-Jan-Feb 2018,Dec-Jan-Feb 2019
0.455,0.455,0.455,0.455,0.455,0.455,0.455,0.455,0.455,0.455,0.455,0.455,0.455,0.455,0.455,0.455,0.455,0.455,0.455,0.455,0.455,0.455,0.455,,0.455,0.455,0.455,0.455,0.455,0.455,0.455,0.455,0.455,0.455,0.455,0.455,0.455,0.455,0.455,0.455,0.455,,0.455,0.455,0.455,0.455,0.455,0.455,0.455,0.455,0.455,0.455,0.455,0.455,0.455,,0.455,0.455
1.205,-1.104,2.508,-0.791,0.961,-1.052,-1.394,0.557,-1.757,0.012,-0.801,-0.777,-0.29,-0.681,0.675,0.686,0.464,2.266,0.566,-1.929,1.661,-1.344,-0.259,-0.36,0.613,-0.795,2.354,-1.121,3.024,-1.118,-1.038,0.673,0.627,0.882,2.215,2.231,1.296,-0.636,0.159,2.253,0.121,1.894,0.046,1.244,-0.382,1.498,0.349,-0.121,3.096,1.894,1.294,1.191,0.533,0.513,0.936,1.952,-0.181,1.281
1.188,1.188,1.188,1.188,1.188,1.188,1.188,1.188,1.188,1.188,1.188,1.188,1.188,1.188,1.188,1.188,1.188,1.188,1.188,1.188,1.188,1.188,1.188,1.188,1.188,1.188,1.188,1.188,1.188,1.188,1.188,1.188,1.188,1.188,1.188,1.188,1.188,1.188,1.188,1.188,1.188,1.188,1.188,1.188,1.188,1.188,1.188,1.188,1.188,1.188,1.188,1.188,1.188,1.188,1.188,1.188,1.188,1.188
1.337,1.911,0.167,0.556,1.369,1.354,0.625,0.817,1.857,-1.304,-1.876,-1.886,-0.997,-1.038,-2.662,0.515,-1.743,0.989,0.33,1.431,3.234,0.054,1.231,-1.94,0.262,-1.178,-0.086,0.277,-1.004,1.387,-2.272,-2.74,1.381,-2.345,-0.158,3.234,0.745,1.355,2.143,0.624,-0.075,-2.75,0.206,-0.949,1.371,-1.012,-0.623,-0.289,2.837,3.487,0.004,1.11,-2.671,3.191,-0.486,-2.75,2.666,1.143
1.857,1.857,1.857,1.857,1.857,1.857,1.857,1.857,1.857,1.857,1.857,1.857,1.857,1.857,1.857,1.857,1.857,1.857,1.857,1.857,1.857,1.857,1.857,1.857,1.857,1.857,1.857,1.857,1.857,1.857,1.857,1.857,1.857,1.857,1.857,1.857,1.857,1.857,1.857,1.857,1.857,1.857,1.857,1.857,1.857,1.857,1.857,1.857,1.857,1.857,1.857,1.857,1.857,1.857,1.857,1.857,1.857,1.857
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.041,-0.714,-0.345,-0.242,2.855,0.609,2.68,2.525,2.329,1.63,-4.54,1.315,0.374,2.843,-1.168,-0.477,-0.001,2.223,2.745,-1.96,-1.713,0.233,0.809,2.601,1.788,0.098,2.382
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.615,1.021,0.104,-0.947,-0.136,-0.45,0.135,-0.017,0.042,-0.538,-0.196,0.434,-1.158,-0.73,-0.559,1.092,1.075,0.873,0.008,-0.565,0.675,-0.49,1.043,-0.559,0.253,1.01,1.201,0.451,1.138,0.279,0.13,,1.61,1.23,0.83,-0.577,2.291,1.92,-0.479,0.83,1.742,1.864,1.658,1.434,0.5,1.901,0.6,0.209,1.487,-0.383,1.062,1.634,1.964,1.73,1.93,1.78,,0.89
0.821,0.821,0.821,0.821,0.821,0.821,0.821,0.821,0.821,0.821,0.821,0.821,0.821,0.821,0.821,0.821,0.821,0.821,0.821,0.821,0.821,0.821,0.821,0.821,0.821,0.821,0.821,0.821,0.821,0.821,0.821,,0.821,0.821,0.821,0.821,0.821,0.821,0.821,0.821,0.821,0.821,0.821,0.821,0.821,0.821,0.821,0.821,0.821,0.821,0.821,0.821,0.821,0.821,0.821,0.821,,0.821
0.104,0.155,0.14,-0.897,0.09,0.138,-0.202,0.145,0.345,-0.922,-0.391,0.13,-0.725,-0.347,-0.772,-0.427,0.483,0.038,-0.009,0.485,-0.563,0.322,-0.082,-0.375,0.618,0.299,0.286,-0.135,0.27,0.303,0.314,0.161,,1.147,0.158,0.568,0.557,0.408,0.558,0.708,0.978,1.138,0.208,0.658,0.818,0.957,0.275,0.518,1.208,1.388,0.628,0.918,0.578,1.128,1.078,0.988,0.938,1.108
0.408,0.408,0.408,0.408,0.408,0.408,0.408,0.408,0.408,0.408,0.408,0.408,0.408,0.408,0.408,0.408,0.408,0.408,0.408,0.408,0.408,0.408,0.408,0.408,0.408,0.408,0.408,0.408,0.408,0.408,0.408,0.408,,0.408,0.408,0.408,0.408,0.408,0.408,0.408,0.408,0.408,0.408,0.408,0.408,0.408,0.408,0.408,0.408,0.408,0.408,0.408,0.408,0.408,0.408,0.408,0.408,0.408
-0.71,-0.172,-0.394,-0.771,-0.189,0.132,-0.521,-0.411,0.265,-0.156,-0.594,0.387,-0.097,0.121,-0.006,0.697,0.31,0.173,0.528,0.463,1.216,0.677,0.114,0.859,0.704,0.438,1.407,-0.053,0.33,0.707,0.213,0.293,1.351,0.032,0.708,0.309,0.059,0.47,-0.597,0.092,1.473,0.543,0.413,0.952,2.553,0.267,0.986,1.358,1.118,0.539,1.084,0.92,0.932,0.638,1.057,1.524,0.995,1.322
0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.596,1.782,-1.463,-3.033,-1.804,-0.979,-2.864,2.279,3.008,-4.89,-6.143,1.46,2.079,1.609,3.497,0.62,1.354,0.08,-0.005,3.77,-1.906,1.273,0.618,3.599,-0.627,4.659,0.422
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.117,0.556,-0.548,-2.018,0.208,0.188,-1.056,1.475,0.913,-0.015,-0.34,-1.576,-0.491,-0.083,-0.273,0.528,1.117,0.495,-0.032,-0.51,0.156,-2.264,-0.503,-0.34,-0.145,-1.508,-0.814,0.286,-0.674,0.681,0.504,0.255,0.347,-0.839,-0.329,-1.02,-0.233,1.852,0.084,-0.264,2.689,0.625,0.503,-0.366,1.269,-2.212,0.189,-1.659,0.465,0.318,-0.958,0.926,0.147,0.411,0.224,1.566,0.051,1.081
0.842,0.842,0.842,0.842,0.842,0.842,0.842,0.842,0.842,0.842,0.842,0.842,0.842,0.842,0.842,0.842,0.842,0.842,0.842,0.842,0.842,0.842,0.842,0.842,0.842,0.842,0.842,0.842,0.842,0.842,0.842,0.842,0.842,0.842,0.842,0.842,0.842,0.842,0.842,0.842,0.842,0.842,0.842,0.842,0.842,0.842,0.842,0.842,0.842,0.842,0.842,0.842,0.842,0.842,0.842,0.842,0.842,0.842
-2.273,-1.618,-1.477,-1.138,-0.602,0.205,-0.309,-1.176,-1.188,-0.303,2.028,0.938,-0.01,2.406,0.733,-2.475,1.279,-0.507,0.456,0.703,-3.542,-0.498,1.162,0.777,1.019,0.715,0.942,2.712,-0.261,-0.161,0.512,-0.764,-0.152,1.246,-2.259,-1.44,1.34,1.02,-0.27,0.724,-0.74,0.801,0.321,1.005,0.399,1.666,0.601,-0.615,-1.598,-4.438,0.882,0.116,1.836,0.437,3.712,1.979,0.399,2.03
1.269,1.269,1.269,1.269,1.269,1.269,1.269,1.269,1.269,1.269,1.269,1.269,1.269,1.269,1.269,1.269,1.269,1.269,1.269,1.269,1.269,1.269,1.269,1.269,1.269,1.269,1.269,1.269,1.269,1.269,1.269,1.269,1.269,1.269,1.269,1.269,1.269,1.269,1.269,1.269,1.269,1.269,1.269,1.269,1.269,1.269,1.269,1.269,1.269,1.269,1.269,1.269,1.269,1.269,1.269,1.269,1.269,1.269
-0.777,-0.033,-0.302,-0.224,-0.154,0.048,-0.639,-0.04,0.692,-0.402,-0.447,0.153,-0.214,0.178,-0.303,0.72,-0.024,-0.284,0.292,0.196,0.349,0.051,0.108,-0.25,0.013,-0.093,1.229,-0.002,-0.087,0.247,0.227,-0.102,1.44,0.32,0.627,0.538,-0.3,1.017,0.008,0.288,0.676,0.634,1.09,0.678,2.107,0.062,0.393,1.013,0.746,0.768,0.584,1.034,1.169,1.281,0.917,1.328,1.662,1.454
0.436,0.436,0.436,0.436,0.436,0.436,0.436,0.436,0.436,0.436,0.436,0.436,0.436,0.436,0.436,0.436,0.436,0.436,0.436,0.436,0.436,0.436,0.436,0.436,0.436,0.436,0.436,0.436,0.436,0.436,0.436,0.436,0.436,0.436,0.436,0.436,0.436,0.436,0.436,0.436,0.436,0.436,0.436,0.436,0.436,0.436,0.436,0.436,0.436,0.436,0.436,0.436,0.436,0.436,0.436,0.436,0.436,0.436
-1.652,0.463,-1.208,-1.336,1.053,-0.293,0.073,-1.715,1.301,0.18,0.69,-0.951,0.723,-0.05,0.084,-0.703,-0.003,-0.537,0.935,-0.011,0.521,1.948,-2.428,1.219,-0.412,1.86,0.87,0.825,-1.581,-0.866,1.264,-0.431,1.343,1.405,0.446,0.32,0.511,1.286,0.842,-0.91,1.195,1.932,1.169,1.424,0.858,2.165,0.637,-0.105,-0.647,-0.643,1.775,1.07,-0.344,2.816,3.172,0.491,2.149,1.766
0.847,0.847,0.847,0.847,0.847,0.847,0.847,0.847,0.847,0.847,0.847,0.847,0.847,0.847,0.847,0.847,0.847,0.847,0.847,0.847,0.847,0.847,0.847,0.847,0.847,0.847,0.847,0.847,0.847,0.847,0.847,0.847,0.847,0.847,0.847,0.847,0.847,0.847,0.847,0.847,0.847,0.847,0.847,0.847,0.847,0.847,0.847,0.847,0.847,0.847,0.847,0.847,0.847,0.847,0.847,0.847,0.847,0.847
0.014,0.494,0.913,-0.755,0.127,-0.366,-0.471,0.293,-0.034,-0.157,-0.421,-0.07,-0.907,-0.231,-0.984,0.102,0.283,0.259,0.16,0.338,0.281,-0.574,0.344,-0.425,-0.037,-0.006,1.019,-0.306,0.381,0.058,-0.887,0.031,0.473,0.638,0.683,-0.629,1.486,0.985,-0.101,0.668,0.918,0.968,0.447,0.375,0.024,1.068,0.326,-0.153,1.012,-0.678,0.093,0.619,0.666,0.519,1.223,1.029,1.125,0.822
0.456,0.456,0.456,0.456,0.456,0.456,0.456,0.456,0.456,0.456,0.456,0.456,0.456,0.456,0.456,0.456,0.456,0.456,0.456,0.456,0.456,0.456,0.456,0.456,0.456,0.456,0.456,0.456,0.456,0.456,0.456,0.456,0.456,0.456,0.456,0.456,0.456,0.456,0.456,0.456,0.456,0.456,0.456,0.456,0.456,0.456,0.456,0.456,0.456,0.456,0.456,0.456,0.456,0.456,0.456,0.456,0.456,0.456
0.218,0.51,-0.51,-0.693,-0.997,-1.225,1.985,0.148,1.009,-0.313,1.13,-0.084,-0.222,-1.213,0.991,-0.478,0.761,0.522,-0.564,0.736,0.248,1.004,1.434,-2.182,0.649,0.261,-0.503,1.647,1.975,-1.163,0.881,0.175,-0.245,2.386,1.51,1.366,-0.282,-0.228,0.785,0.219,-0.466,-0.231,-1.347,0.461,-0.666,1.529,0.267,0.934,-0.186,1.553,-0.535,1.517,2.912,0.336,0.675,1.169,1.812,-0.292
0.762,0.762,0.762,0.762,0.762,0.762,0.762,0.762,0.762,0.762,0.762,0.762,0.762,0.762,0.762,0.762,0.762,0.762,0.762,0.762,0.762,0.762,0.762,0.762,0.762,0.762,0.762,0.762,0.762,0.762,0.762,0.762,0.762,0.762,0.762,0.762,0.762,0.762,0.762,0.762,0.762,0.762,0.762,0.762,0.762,0.762,0.762,0.762,0.762,0.762,0.762,0.762,0.762,0.762,0.762,0.762,0.762,0.762
0.511,-0.574,-1.472,-0.355,1.311,-0.334,-0.053,-0.949,0.052,-0.706,2.198,-0.133,-0.135,0.116,0.182,-0.562,-0.978,-0.894,1.849,2.139,1.306,0.859,0.823,-3.638,0.16,-0.728,0.804,1.369,1.598,0.618,0.252,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.176,1.176,1.176,1.176,1.176,1.176,1.176,1.176,1.176,1.176,1.176,1.176,1.176,1.176,1.176,1.176,1.176,1.176,1.176,1.176,1.176,1.176,1.176,1.176,1.176,1.176,1.176,1.176,1.176,1.176,1.176,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.433,-2.214,-0.287,-1.046,2.629,-0.534,2.212,2.545,2.457,1.095,-5.047,0.674,0.655,2.279,-1.362,-1.139,-0.083,1.663,2.04,-2.928,-3.281,0.271,0.091,2.985,1.722,-0.749,0.91
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.32,-0.281,-0.402,0.041,-0.131,-0.877,0.102,-0.055,-0.104,-0.154,-0.58,0.133,0.549,-0.368,-0.115,0.318,0.322,0.288,-0.081,0.021,0.377,-0.068,-0.297,0.609,0.321,-0.016,0.605,-0.39,0.158,0.199,-0.239,0.038,,-0.501,0.438,0.99,1.162,2.302,1.012,0.512,1.29,0.138,0.846,0.673,1.025,0.575,0.715,1.257,0.206,0.891,0.779,1.023,1.221,1.076,1.377,1.17,0.585,0.928
0.336,0.336,0.336,0.336,0.336,0.336,0.336,0.336,0.336,0.336,0.336,0.336,0.336,0.336,0.336,0.336,0.336,0.336,0.336,0.336,0.336,0.336,0.336,0.336,0.336,0.336,0.336,0.336,0.336,0.336,0.336,0.336,,0.336,0.336,0.336,0.336,0.336,0.336,0.336,0.336,0.336,0.336,0.336,0.336,0.336,0.336,0.336,0.336,0.336,0.336,0.336,0.336,0.336,0.336,0.336,0.336,0.336
-0.208,0.177,0.186,-0.582,0.362,-0.28,-0.182,0.337,0.795,0.024,-0.407,0.551,-0.74,-0.407,-0.816,0.18,0.433,-0.087,0.348,0.705,0.796,0.285,0.304,-0.553,-0.476,0.146,0.928,-0.424,0.141,0.789,0.016,0.22,0.613,0.482,1.02,0.209,0.975,0.564,0.536,0.281,1.207,0.618,1.182,0.949,0.412,1.016,0.641,0.448,1.579,0.721,0.7,1.141,0.627,1.368,1.212,0.907,1.191,0.729
0.456,0.456,0.456,0.456,0.456,0.456,0.456,0.456,0.456,0.456,0.456,0.456,0.456,0.456,0.456,0.456,0.456,0.456,0.456,0.456,0.456,0.456,0.456,0.456,0.456,0.456,0.456,0.456,0.456,0.456,0.456,0.456,0.456,0.456,0.456,0.456,0.456,0.456,0.456,0.456,0.456,0.456,0.456,0.456,0.456,0.456,0.456,0.456,0.456,0.456,0.456,0.456,0.456,0.456,0.456,0.456,0.456,0.456
0.565,-0.547,0.08,-1.068,0.806,1.033,-1.305,2.131,-0.538,0.655,-0.366,0.493,-1.207,0.254,-2.389,0.144,1.045,0.664,0.334,0.151,-1.299,-1.493,-1.023,-0.389,0.164,0.517,-0.971,0.076,0.021,0.888,0.823,0.745,-0.555,1.308,-0.587,-0.276,1.393,0.945,-1.628,1.248,0.19,1.536,0.091,0.319,-0.426,0.685,1.617,-0.086,1.324,0.985,-0.334,1.661,-1.39,-0.115,1.44,1.857,0.244,1.606
0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944
,,,,,,,,,,,,,,,0.042,-0.748,0.362,-0.288,0.632,1.472,-0.348,1.222,0.802,-0.018,0.142,0.022,0.922,0.162,0.452,0.342,-0.378,0.412,0.322,0.702,-0.018,-0.348,2.082,0.822,,0.852,0.772,0.512,-0.708,1.142,,0.392,-1.208,0.342,-0.768,0.902,-0.088,,0.792,0.492,,0.992,0.432
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.58,0.23,0.08,-0.718,0.107,-0.348,-0.019,0.03,-0.17,-0.269,-0.474,0.632,0.346,0.025,-0.299,-0.319,0.606,0.051,0.001,0.351,0.208,-0.27,0.057,0.032,0.672,0.639,0.483,-0.009,0.122,-0.222,0.124,0.302,0.592,0.357,0.953,-0.182,0.815,0.984,0.101,0.881,1.008,1.142,0.478,1.23,1.441,0.617,0.258,0.751,0.07,0.477,0.817,0.866,0.921,0.914,1.303,1.319,0.907,1.018
0.396,0.396,0.396,0.396,0.396,0.396,0.396,0.396,0.396,0.396,0.396,0.396,0.396,0.396,0.396,0.396,0.396,0.396,0.396,0.396,0.396,0.396,0.396,0.396,0.396,0.396,0.396,0.396,0.396,0.396,0.396,0.396,0.396,0.396,0.396,0.396,0.396,0.396,0.396,0.396,0.396,0.396,0.396,0.396,0.396,0.396,0.396,0.396,0.396,0.396,0.396,0.396,0.396,0.396,0.396,0.396,0.396,0.396
1.865,0.857,-0.509,-1.142,0.643,0.701,-1.258,0.65,-0.714,-0.283,-0.436,-1.116,-1.301,0.129,0.785,-0.071,1.789,1.617,1.174,0.102,2.064,-0.266,1.702,0.565,1.184,0.474,1.58,0.271,2.672,0.727,1.511,0.555,1.037,1.739,2.662,1.297,2.198,0.673,1.019,1.506,2.971,2.446,2.387,0.737,2.798,1.48,1.123,-0.291,2.814,3.259,1.544,1.504,2.031,0.969,3.208,2.71,1.257,2.611
0.942,0.942,0.942,0.942,0.942,0.942,0.942,0.942,0.942,0.942,0.942,0.942,0.942,0.942,0.942,0.942,0.942,0.942,0.942,0.942,0.942,0.942,0.942,0.942,0.942,0.942,0.942,0.942,0.942,0.942,0.942,0.942,0.942,0.942,0.942,0.942,0.942,0.942,0.942,0.942,0.942,0.942,0.942,0.942,0.942,0.942,0.942,0.942,0.942,0.942,0.942,0.942,0.942,0.942,0.942,0.942,0.942,0.942
0.077,0.08,0.082,-1.083,-0.254,-0.553,-0.271,0.977,0.183,-0.163,-0.625,0.286,-0.504,-0.465,-0.905,0.475,0.285,0.313,0.127,0.165,-0.335,0.606,0.25,0.553,-0.114,-0.38,1.537,0.495,0.549,-0.043,0.041,,-1.011,0.113,0.637,,,,,,,,,,,,,,,,,,,,,,,
0.452,0.452,0.452,0.452,0.452,0.452,0.452,0.452,0.452,0.452,0.452,0.452,0.452,0.452,0.452,0.452,0.452,0.452,0.452,0.452,0.452,0.452,0.452,0.452,0.452,0.452,0.452,0.452,0.452,0.452,0.452,,0.452,0.452,0.452,,,,,,,,,,,,,,,,,,,,,,,
-0.934,-3.426,-1.891,0.385,1.438,-0.114,-1.334,-1.842,-2.671,-0.107,0.508,-0.486,-0.81,0.569,0.111,-0.168,-1.826,0.791,2.364,-1.585,0.116,2.168,-0.372,-0.266,2.673,-1.603,0.86,-0.33,0.371,-0.749,-3.091,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.654,1.654,1.654,1.654,1.654,1.654,1.654,1.654,1.654,1.654,1.654,1.654,1.654,1.654,1.654,1.654,1.654,1.654,1.654,1.654,1.654,1.654,1.654,1.654,1.654,1.654,1.654,1.654,1.654,1.654,1.654,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.39,-0.38,-0.237,-0.35,0.42,0.352,-0.496,-0.427,-0.373,-0.468,-0.38,1.332,-0.744,-0.589,-0.14,0.432,0.091,-0.151,-0.192,0.278,1.171,0.986,0.251,0.222,0.494,0.548,1.267,0.412,1.209,1.214,-0.157,0.876,0.659,0.735,0.414,1.082,1.465,0.559,1.135,0.007,1.15,1.489,1.369,0.803,0.609,0.396,0.318,0.437,0.978,0.716,1.894,0.834,1.085,2.288,1.984,1.088,1.333,1.815
0.526,0.526,0.526,0.526,0.526,0.526,0.526,0.526,0.526,0.526,0.526,0.526,0.526,0.526,0.526,0.526,0.526,0.526,0.526,0.526,0.526,0.526,0.526,0.526,0.526,0.526,0.526,0.526,0.526,0.526,0.526,0.526,0.526,0.526,0.526,0.526,0.526,0.526,0.526,0.526,0.526,0.526,0.526,0.526,0.526,0.526,0.526,0.526,0.526,0.526,0.526,0.526,0.526,0.526,0.526,0.526,0.526,0.526
-0.077,-0.696,-0.142,-1.051,1.439,0.746,-0.125,0.032,-1.164,0.773,0.197,2.4,-1.257,-0.977,-0.22,0.863,0.09,-0.949,-0.692,0.385,0.45,1.72,0.499,0.207,0.016,0.269,1.109,-0.234,0.952,1.023,-0.312,0.63,0.286,0.849,-0.435,0.733,1.494,-0.431,0.554,0.002,0.277,0.853,1.388,0.402,-0.51,1.306,-1.166,0.57,1.141,0.546,0.322,0.311,-0.125,0.78,2.791,1.129,0.598,1.213
0.804,0.804,0.804,0.804,0.804,0.804,0.804,0.804,0.804,0.804,0.804,0.804,0.804,0.804,0.804,0.804,0.804,0.804,0.804,0.804,0.804,0.804,0.804,0.804,0.804,0.804,0.804,0.804,0.804,0.804,0.804,0.804,0.804,0.804,0.804,0.804,0.804,0.804,0.804,0.804,0.804,0.804,0.804,0.804,0.804,0.804,0.804,0.804,0.804,0.804,0.804,0.804,0.804,0.804,0.804,0.804,0.804,0.804
-0.217,0.113,-0.225,-0.643,0.285,-0.218,-0.208,-0.075,0.469,-0.389,0.128,-0.124,-0.093,-0.245,-0.329,-0.098,-0.025,0.159,0.849,0.252,0.735,0.298,-0.069,-0.906,0.163,0.156,1.073,0.489,0.485,0.506,0.183,0.388,0.462,0.515,0.406,0.582,0.659,1.042,1.121,0.222,0.748,0.349,1.442,0.524,1.086,1.463,0.982,0.809,0.61,0.635,1.054,0.298,1.057,1.342,2.058,1.246,1.629,1.24
0.331,0.331,0.331,0.331,0.331,0.331,0.331,0.331,0.331,0.331,0.331,0.331,0.331,0.331,0.331,0.331,0.331,0.331,0.331,0.331,0.331,0.331,0.331,0.331,0.331,0.331,0.331,0.331,0.331,0.331,0.331,0.331,0.331,0.331,0.331,0.331,0.331,0.331,0.331,0.331,0.331,0.331,0.331,0.331,0.331,0.331,0.331,0.331,0.331,0.331,0.331,0.331,0.331,0.331,0.331,0.331,0.331,0.331
-0.406,0.164,0.397,-0.221,-0.192,-0.046,-0.274,0.343,0.284,-0.339,-0.474,0.332,-0.266,-0.65,-0.022,0.584,0.074,0.555,-0.109,-0.242,0.841,-0.184,0.213,-0.115,0.031,-0.47,1.111,-0.451,0.722,1.076,-0.453,0.304,0.737,-0.003,0.766,0.725,0.689,0.486,0.354,0.5,1.11,1.023,0.744,1.024,1.311,0.145,0.533,1.064,1.559,1.177,0.206,0.777,0.582,0.805,0.81,1.508,0.911,1.153
0.353,0.353,0.353,0.353,0.353,0.353,0.353,0.353,0.353,0.353,0.353,0.353,0.353,0.353,0.353,0.353,0.353,0.353,0.353,0.353,0.353,0.353,0.353,0.353,0.353,0.353,0.353,0.353,0.353,0.353,0.353,0.353,0.353,0.353,0.353,0.353,0.353,0.353,0.353,0.353,0.353,0.353,0.353,0.353,0.353,0.353,0.353,0.353,0.353,0.353,0.353,0.353,0.353,0.353,0.353,0.353,0.353,0.353
-0.466,-0.036,-0.245,-0.725,0.067,0.111,-0.592,-0.105,0.201,-0.116,-0.418,0.687,-0.448,-0.166,-0.128,0.633,0.236,-0.085,0.219,0.362,0.46,0.33,0.399,0.244,0.228,0.202,1.298,0.079,0.407,0.544,0.063,0.557,0.857,0.378,0.631,0.709,0.55,0.416,0.383,0.555,0.989,0.971,0.918,0.8,1.065,0.666,0.466,0.94,1.326,0.992,0.903,1.123,0.669,1.035,1.71,1.416,0.991,1.449
0.378,0.378,0.378,0.378,0.378,0.378,0.378,0.378,0.378,0.378,0.378,0.378,0.378,0.378,0.378,0.378,0.378,0.378,0.378,0.378,0.378,0.378,0.378,0.378,0.378,0.378,0.378,0.378,0.378,0.378,0.378,0.378,0.378,0.378,0.378,0.378,0.378,0.378,0.378,0.378,0.378,0.378,0.378,0.378,0.378,0.378,0.378,0.378,0.378,0.378,0.378,0.378,0.378,0.378,0.378,0.378,0.378,0.378
-0.618,0.317,0.226,-0.238,-0.106,-0.117,0.208,0.159,0.506,-0.343,-0.847,0.644,0.062,-0.62,-0.474,0.287,-0.236,0.359,-0.095,-0.167,0.706,0.163,-0.085,-0.147,0.14,-0.402,0.621,-0.199,-0.113,1.262,-0.33,-0.356,0.769,-0.046,0.101,0.159,0.682,0.766,0.366,0.016,0.961,0.458,0.679,0.898,1.267,0.029,0.671,1.279,0.806,0.499,-0.201,0.777,0.794,1.035,0.347,1.465,1.506,1.167
0.401,0.401,0.401,0.401,0.401,0.401,0.401,0.401,0.401,0.401,0.401,0.401,0.401,0.401,0.401,0.401,0.401,0.401,0.401,0.401,0.401,0.401,0.401,0.401,0.401,0.401,0.401,0.401,0.401,0.401,0.401,0.401,0.401,0.401,0.401,0.401,0.401,0.401,0.401,0.401,0.401,0.401,0.401,0.401,0.401,0.401,0.401,0.401,0.401,0.401,0.401,0.401,0.401,0.401,0.401,0.401,0.401,0.401
0.007,0.042,1.23,-0.33,0.014,-0.583,-0.653,0.324,-0.148,-0.502,-0.755,-0.491,-0.281,-0.887,0.16,1.172,0.138,1.207,-0.483,-0.617,1.43,-0.921,0.039,-0.114,0.39,-1.152,1.604,-0.585,1.418,1.225,-1.371,0.279,0.921,-0.339,1.474,1.163,0.729,0.156,0.232,1.078,0.937,1.328,0.679,0.712,1.412,-0.171,0.47,0.895,2.166,2.063,0.285,0.794,0.266,0.538,0.797,1.121,0.436,1.014
0.642,0.642,0.642,0.642,0.642,0.642,0.642,0.642,0.642,0.642,0.642,0.642,0.642,0.642,0.642,0.642,0.642,0.642,0.642,0.642,0.642,0.642,0.642,0.642,0.642,0.642,0.642,0.642,0.642,0.642,0.642,0.642,0.642,0.642,0.642,0.642,0.642,0.642,0.642,0.642,0.642,0.642,0.642,0.642,0.642,0.642,0.642,0.642,0.642,0.642,0.642,0.642,0.642,0.642,0.642,0.642,0.642,0.642
